Id,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,GarageArea,OverallQual,FullBath,GarageCars,TotRmsAbvGrd,MSZoning,Condition2,Neighborhood,ExterQual,PoolQC,RoofMatl,SalePrice
226,1971,1971,630.0,630,1302,280.0,5,2,1.0,6,RM,Norm,BrDale,TA,RM,CompShg,112000.0
227,1995,1995,1203.0,1214,2520,721.0,7,2,3.0,9,RL,Norm,NoRidge,Gd,RL,CompShg,290000.0
228,1970,1970,483.0,483,987,280.0,6,1,1.0,5,RM,Norm,BrDale,TA,RM,CompShg,106000.0
229,1967,1967,912.0,912,912,336.0,5,1,1.0,5,RL,Norm,Sawyer,TA,RL,CompShg,125000.0
230,2005,2006,1373.0,1555,1555,430.0,7,2,2.0,7,RL,Norm,Blmngtn,Gd,RL,CompShg,192500.0
231,1959,1959,1194.0,1194,1194,312.0,6,1,1.0,6,RL,Norm,NAmes,TA,RL,CompShg,148000.0
232,1995,1996,1462.0,1490,2794,810.0,8,2,3.0,9,RL,Norm,NoRidge,Gd,RL,CompShg,403000.0
233,1972,1972,483.0,483,987,288.0,6,1,1.0,5,RM,Norm,BrDale,TA,RM,CompShg,94500.0
234,1976,1976,894.0,894,894,308.0,5,1,1.0,5,RL,Norm,CollgCr,TA,RL,CompShg,128200.0
235,2002,2002,860.0,860,1960,440.0,6,2,2.0,8,RL,Norm,Gilbert,Gd,RL,CompShg,216500.0
236,1971,1971,483.0,483,987,264.0,6,1,1.0,5,RM,Norm,BrDale,TA,RM,CompShg,89500.0
237,2004,2004,1414.0,1414,1414,494.0,7,2,2.0,6,RL,Norm,CollgCr,Gd,RL,CompShg,185500.0
238,1993,2003,996.0,1014,1744,457.0,7,2,2.0,7,RL,Norm,SawyerW,Gd,RL,CompShg,194500.0
239,2007,2007,1694.0,1694,1694,818.0,8,2,3.0,7,RL,Norm,NridgHt,Ex,RL,CompShg,318000.0
240,1945,1950,735.0,798,1487,220.0,6,1,1.0,7,RL,Norm,Edwards,TA,RL,CompShg,113000.0
241,2008,2008,1566.0,1566,1566,750.0,8,2,2.0,7,FV,Norm,Somerst,Gd,FV,CompShg,262500.0
242,1945,1997,686.0,866,866,0.0,5,1,0.0,4,RM,Norm,OldTown,TA,RM,CompShg,110500.0
243,1900,1950,540.0,889,1440,352.0,5,1,1.0,6,RM,Norm,OldTown,TA,RM,CompShg,79000.0
244,1980,1980,626.0,626,1217,288.0,6,1,1.0,6,RL,Norm,SawyerW,TA,RL,CompShg,120000.0
245,1994,2002,948.0,1222,2110,463.0,7,2,2.0,8,RL,Norm,SawyerW,Gd,RL,CompShg,205000.0
246,1988,1988,1845.0,1872,1872,604.0,7,2,2.0,6,RL,Norm,NWAmes,TA,RL,CompShg,241500.0
247,1910,1950,1020.0,908,1928,440.0,6,2,1.0,9,RM,Norm,OldTown,TA,RM,CompShg,137000.0
248,1954,1954,1367.0,1375,1375,451.0,6,1,2.0,5,RL,Norm,NAmes,TA,RL,CompShg,140000.0
249,2003,2003,840.0,840,1668,500.0,7,2,2.0,8,RL,Norm,CollgCr,Gd,RL,CompShg,180000.0
250,1958,2006,1444.0,1444,2144,389.0,6,2,2.0,7,RL,Norm,ClearCr,Gd,RL,CompShg,277000.0
251,1940,1966,728.0,1306,1306,0.0,3,1,0.0,6,RL,Norm,BrkSide,TA,RL,CompShg,76500.0
252,2006,2007,1573.0,1625,1625,538.0,8,2,2.0,5,RM,Norm,Crawfor,Gd,RM,CompShg,235000.0
253,2004,2004,798.0,798,1640,520.0,6,2,2.0,6,RL,Norm,SawyerW,Gd,RL,CompShg,173000.0
254,1964,1991,1302.0,1302,1302,309.0,6,2,1.0,7,RL,Norm,NAmes,TA,RL,CompShg,158000.0
255,1957,1957,1314.0,1314,1314,294.0,5,1,1.0,5,RL,Norm,NAmes,TA,RL,CompShg,145000.0
256,1999,1999,975.0,1005,2291,429.0,7,2,2.0,8,RL,Norm,Gilbert,Gd,RL,CompShg,230000.0
257,2003,2003,864.0,864,1728,673.0,6,2,2.0,7,FV,Norm,Somerst,Gd,FV,CompShg,207500.0
258,2006,2006,1604.0,1604,1604,660.0,7,2,2.0,8,RL,Norm,CollgCr,Gd,RL,CompShg,220000.0
259,2001,2001,963.0,963,1792,564.0,7,2,2.0,7,RL,Norm,CollgCr,Gd,RL,CompShg,231500.0
260,1956,1956,0.0,882,882,308.0,5,1,1.0,4,RM,Norm,OldTown,TA,RM,CompShg,97000.0
261,1962,1962,1362.0,1382,1382,884.0,6,1,2.0,6,RL,Norm,NAmes,TA,RL,CompShg,176000.0
262,2007,2007,1482.0,1482,2574,868.0,8,2,3.0,10,RL,Norm,CollgCr,Gd,RL,CompShg,276000.0
263,1977,1995,506.0,1212,1212,492.0,6,1,2.0,6,RL,Norm,Sawyer,TA,RL,CompShg,151000.0
264,1929,2001,926.0,926,1316,484.0,5,1,2.0,6,RM,Norm,OldTown,TA,RM,CompShg,130000.0
265,1925,2004,680.0,764,764,504.0,5,1,2.0,4,RM,Norm,OldTown,TA,RM,CompShg,73000.0
266,1981,1981,1422.0,1422,1422,576.0,6,2,2.0,7,RL,Norm,NWAmes,TA,RL,CompShg,175500.0
267,1997,1997,802.0,802,1511,413.0,6,2,2.0,8,RL,Norm,Gilbert,TA,RL,CompShg,185000.0
268,1939,1997,720.0,1052,2192,240.0,5,2,1.0,8,RL,Norm,SWISU,TA,RL,CompShg,179500.0
269,1940,1955,740.0,778,778,924.0,5,1,1.0,4,RM,Norm,IDOTRR,TA,RM,CompShg,120500.0
270,1976,1976,1143.0,1113,1113,504.0,6,1,1.0,6,RL,Norm,Edwards,TA,RL,CompShg,148000.0
271,2006,2006,1095.0,1095,1939,1053.0,8,2,3.0,8,FV,Norm,Somerst,Gd,FV,CompShg,266000.0
272,1954,2005,1385.0,1363,1363,439.0,7,1,2.0,5,RL,Norm,ClearCr,TA,RL,Membran,241500.0
273,1999,2007,1152.0,1164,2270,671.0,8,2,3.0,9,RL,Norm,NoRidge,Gd,RL,CompShg,290000.0
274,1958,1988,1240.0,1632,1632,338.0,6,2,1.0,6,RL,Norm,NAmes,TA,RL,CompShg,139000.0
275,1982,1982,816.0,816,816,264.0,5,1,1.0,5,RL,Norm,Mitchel,TA,RL,CompShg,124500.0
276,1925,2007,952.0,952,1548,672.0,7,2,2.0,5,RL,Norm,BrkSide,Gd,RL,CompShg,205000.0
277,2003,2003,1560.0,1560,1560,573.0,7,2,2.0,7,RL,Norm,Mitchel,Gd,RL,CompShg,201000.0
278,1951,1951,864.0,864,864,400.0,4,1,2.0,4,RL,Norm,Gilbert,TA,RL,CompShg,141000.0
279,2006,2007,2121.0,2121,2121,732.0,9,2,3.0,8,RL,Norm,NridgHt,Ex,RL,CompShg,415298.0
280,1977,1977,1160.0,1156,2022,505.0,7,2,2.0,8,RL,Norm,ClearCr,TA,RL,CompShg,192000.0
281,1989,1989,807.0,1175,1982,575.0,7,2,2.0,7,RL,Norm,SawyerW,Gd,RL,CompShg,228500.0
282,2006,2006,1262.0,1262,1262,572.0,6,2,2.0,5,FV,Norm,Somerst,Gd,FV,CompShg,185000.0
283,2007,2008,1314.0,1314,1314,626.0,7,2,2.0,6,RL,Norm,NridgHt,Gd,RL,CompShg,207500.0
284,2008,2009,1468.0,1468,1468,898.0,8,2,3.0,6,RL,Norm,Somerst,Gd,RL,CompShg,244600.0
285,1992,1992,1575.0,1575,1575,529.0,6,2,2.0,5,RL,Norm,SawyerW,Gd,RL,CompShg,179200.0
286,2006,2007,625.0,625,1250,528.0,7,2,2.0,5,FV,Norm,Somerst,Gd,FV,CompShg,164700.0
287,1962,1981,912.0,1085,1734,440.0,6,1,2.0,7,RL,Norm,NAmes,TA,RL,CompShg,159000.0
288,1971,1971,858.0,858,858,0.0,4,1,0.0,5,RL,Norm,NAmes,TA,RL,CompShg,88000.0
289,1967,1967,882.0,900,900,280.0,5,1,1.0,5,RL,Norm,Sawyer,TA,RL,CompShg,122000.0
290,1915,2003,698.0,698,1396,384.0,6,1,1.0,7,RL,Norm,BrkSide,TA,RL,CompShg,153575.0
291,2006,2006,1079.0,1079,1919,685.0,8,2,2.0,8,RL,Norm,CollgCr,Gd,RL,CompShg,233230.0
292,1912,2000,780.0,936,1716,0.0,5,2,0.0,9,RL,Norm,SWISU,TA,RL,CompShg,135900.0
293,1949,2008,768.0,1148,1716,281.0,5,1,1.0,8,RL,Norm,Edwards,TA,RL,CompShg,131000.0
294,1977,1994,795.0,1468,2263,539.0,7,2,2.0,9,RL,Norm,NWAmes,TA,RL,CompShg,235000.0
295,1953,1953,1416.0,1644,1644,418.0,6,1,2.0,7,RL,Norm,NAmes,TA,RL,CompShg,167000.0
296,1984,1984,1003.0,1003,1003,588.0,6,1,2.0,6,RL,Norm,Mitchel,TA,RL,CompShg,142500.0
297,1950,1950,910.0,910,1558,282.0,5,1,1.0,6,RM,Norm,IDOTRR,TA,RM,CompShg,152000.0
298,1997,1998,975.0,975,1950,576.0,7,2,2.0,7,FV,Norm,Somerst,Gd,FV,CompShg,239000.0
299,1968,1968,702.0,1041,1743,539.0,6,1,2.0,7,RL,Norm,NWAmes,Gd,RL,CompShg,175000.0
300,1950,2004,1092.0,1152,1152,300.0,6,1,1.0,6,RL,Norm,Crawfor,TA,RL,CompShg,158500.0
301,1953,1953,1165.0,1336,1336,375.0,5,1,1.0,5,RL,Norm,Crawfor,TA,RL,CompShg,157000.0
302,1998,1999,1028.0,1210,2452,683.0,8,2,2.0,9,RL,Norm,CollgCr,Gd,RL,CompShg,267000.0
303,2001,2002,1541.0,1541,1541,843.0,7,2,3.0,6,RL,Norm,CollgCr,Gd,RL,CompShg,205000.0
304,1972,1972,894.0,894,894,552.0,5,1,2.0,5,RL,Norm,CollgCr,TA,RL,CompShg,149900.0
305,1880,2002,1470.0,1675,3493,870.0,7,3,3.0,10,RM,Norm,OldTown,TA,RM,CompShg,295000.0
306,2004,2005,2000.0,2000,2000,888.0,8,2,3.0,8,RL,Norm,CollgCr,Gd,RL,CompShg,305900.0
307,1990,1991,700.0,1122,2243,746.0,7,2,3.0,8,RL,Norm,SawyerW,Gd,RL,CompShg,225000.0
308,1920,1950,319.0,1035,1406,0.0,6,1,0.0,6,RM,Norm,IDOTRR,TA,RM,CompShg,89500.0
309,1940,1950,861.0,861,861,539.0,4,1,2.0,4,RL,Norm,Edwards,TA,RL,CompShg,82500.0
310,2003,2004,1896.0,1944,1944,708.0,9,2,3.0,8,RL,Norm,NridgHt,Gd,RL,CompShg,360000.0
311,1993,1994,697.0,697,1501,420.0,6,2,2.0,6,RL,Norm,Gilbert,TA,RL,CompShg,165600.0
312,1948,2002,972.0,972,972,240.0,6,1,1.0,5,RL,Norm,NAmes,TA,RL,CompShg,132000.0
313,1939,1950,793.0,793,1118,410.0,5,1,2.0,5,RM,Norm,OldTown,TA,RM,CompShg,119900.0
314,1965,1965,2136.0,2036,2036,513.0,7,2,2.0,8,RL,Norm,Timber,TA,RL,CompShg,375000.0
315,1925,1990,728.0,832,1641,546.0,7,1,2.0,6,RM,Norm,OldTown,TA,RM,CompShg,178000.0
316,2004,2005,716.0,716,1432,432.0,7,2,2.0,6,RL,Norm,Gilbert,Gd,RL,CompShg,188500.0
317,1980,1980,845.0,1153,2353,484.0,7,2,2.0,10,RL,Norm,NWAmes,Gd,RL,CompShg,260000.0
318,2006,2006,1088.0,1088,1959,1025.0,8,2,3.0,8,FV,Norm,Somerst,Gd,FV,CompShg,270000.0
319,1993,1993,1347.0,1372,2646,656.0,7,2,3.0,9,RL,Norm,NoRidge,Gd,RL,CompShg,260000.0
320,1980,1980,1372.0,1472,1472,588.0,7,2,2.0,6,RL,Norm,NWAmes,TA,RL,CompShg,187500.0
321,2006,2006,1249.0,1249,2596,840.0,9,3,3.0,9,RL,Norm,NridgHt,TA,RL,CompShg,342643.0
322,2004,2004,1136.0,1136,2468,872.0,8,2,3.0,10,RL,Norm,NridgHt,Gd,RL,CompShg,354000.0
323,1986,1987,1502.0,1553,2730,576.0,7,2,2.0,8,RL,Norm,SawyerW,Gd,RL,CompShg,301000.0
324,1955,2005,1162.0,1163,1163,220.0,3,1,1.0,6,RM,Norm,OldTown,TA,RM,CompShg,126175.0
325,1967,2007,710.0,1898,2978,564.0,7,2,2.0,11,RL,Norm,NAmes,Gd,RL,WdShake,242000.0
326,1941,1950,720.0,803,803,360.0,5,1,2.0,5,RM,Norm,IDOTRR,TA,RM,CompShg,87000.0
327,1993,1993,1719.0,1719,1719,473.0,8,1,2.0,6,RL,Norm,Veenker,Gd,RL,CompShg,324000.0
328,1960,1960,1383.0,1383,1383,292.0,6,1,1.0,7,RL,Norm,NAmes,TA,RL,CompShg,145250.0
329,1916,1994,844.0,1445,2134,441.0,6,2,2.0,10,RL,Norm,BrkSide,TA,RL,CompShg,214500.0
330,1920,1950,596.0,596,1192,189.0,5,1,1.0,6,RM,Norm,IDOTRR,TA,RM,CompShg,78000.0
331,1964,1964,1728.0,1728,1728,352.0,5,2,1.0,10,RL,Norm,NAmes,TA,RL,CompShg,119000.0
332,1958,1992,1056.0,1056,1056,308.0,5,1,1.0,6,RL,Norm,NAmes,TA,RL,CompShg,139000.0
333,2003,2004,3206.0,1629,1629,880.0,8,2,3.0,7,RL,Norm,NridgHt,Gd,RL,CompShg,284000.0
334,2004,2004,1358.0,1358,1358,484.0,7,2,2.0,6,RM,Norm,NridgHt,Gd,RM,CompShg,207000.0
335,1998,1998,943.0,943,1638,472.0,6,2,2.0,7,RL,Norm,Gilbert,TA,RL,CompShg,192000.0
336,1965,1965,1499.0,1619,1786,529.0,5,2,2.0,7,RL,Norm,Timber,TA,RL,CompShg,228950.0
337,2005,2006,1922.0,1922,1922,676.0,9,2,3.0,8,RL,Norm,StoneBr,Gd,RL,CompShg,377426.0
338,2002,2003,1536.0,1536,1536,532.0,7,2,2.0,7,RL,Norm,CollgCr,Gd,RL,CompShg,214000.0
339,1984,1998,1208.0,1621,1621,440.0,7,2,2.0,8,RL,Norm,NWAmes,Gd,RL,CompShg,202500.0
340,1958,1998,1215.0,1215,1215,297.0,6,1,1.0,6,RL,Norm,NAmes,TA,RL,CompShg,155000.0
341,2002,2002,967.0,993,1908,431.0,8,2,2.0,9,RL,Norm,Timber,Gd,RL,CompShg,202900.0
342,1950,1950,721.0,841,841,294.0,4,1,1.0,4,RH,Norm,SawyerW,Fa,RH,CompShg,82000.0
343,1949,1950,0.0,1040,1040,400.0,3,2,2.0,6,RL,Norm,NAmes,TA,RL,CompShg,87500.0
344,2005,2005,1684.0,1684,1684,564.0,9,2,2.0,6,RL,Norm,NridgHt,Ex,RL,CompShg,266000.0
345,1976,1976,536.0,536,1112,336.0,5,1,1.0,4,RM,Norm,MeadowV,TA,RM,CompShg,85000.0
346,1939,1950,972.0,972,1577,312.0,6,1,1.0,6,RL,Norm,BrkSide,TA,RL,CompShg,140200.0
347,1960,1998,958.0,958,958,301.0,6,1,1.0,5,RL,Norm,NAmes,TA,RL,CompShg,151500.0
348,1960,1960,1478.0,1478,1478,498.0,6,2,2.0,6,RL,Norm,NAmes,TA,RL,CompShg,157500.0
349,2003,2004,764.0,764,1626,474.0,7,2,2.0,6,RL,Norm,NridgHt,Gd,RL,CompShg,154000.0
350,2005,2006,1848.0,1848,2728,706.0,9,2,3.0,10,RL,Norm,NridgHt,Ex,RL,CompShg,437154.0
351,2007,2007,1869.0,1869,1869,617.0,9,2,2.0,6,RL,Norm,NridgHt,Ex,RL,CompShg,318061.0
352,1986,1986,1453.0,1453,1453,445.0,7,1,2.0,6,RL,Norm,ClearCr,TA,RL,CompShg,190000.0
353,1941,1950,616.0,616,1111,200.0,5,1,1.0,5,RL,Norm,Edwards,TA,RL,CompShg,95000.0
354,1928,2003,624.0,720,720,484.0,6,1,2.0,5,RM,Norm,OldTown,TA,RM,CompShg,105900.0
355,1940,2000,940.0,1192,1595,240.0,6,1,1.0,6,RL,Norm,SWISU,TA,RL,CompShg,140000.0
356,1995,1995,1200.0,1200,1200,521.0,6,2,2.0,6,RL,Norm,CollgCr,Gd,RL,CompShg,177500.0
357,1992,1992,1158.0,1167,1167,400.0,6,2,2.0,6,RL,Norm,Gilbert,TA,RL,CompShg,173000.0
358,1976,1976,1142.0,1142,1142,528.0,5,1,2.0,6,RM,Norm,MeadowV,TA,RM,CompShg,134000.0
359,1958,1958,1062.0,1352,1352,288.0,5,1,1.0,6,RL,Norm,ClearCr,TA,RL,CompShg,130000.0
360,1998,1998,1086.0,1086,1924,592.0,8,2,2.0,7,RL,Norm,NoRidge,Gd,RL,CompShg,280000.0
361,1978,1978,888.0,912,912,470.0,6,1,2.0,5,RL,Norm,Mitchel,TA,RL,CompShg,156000.0
362,1940,1982,883.0,988,1505,240.0,5,1,1.0,8,RL,Norm,BrkSide,TA,RL,CompShg,145000.0
363,2003,2003,0.0,495,1922,672.0,7,3,2.0,7,RL,Norm,Edwards,Gd,RL,CompShg,198500.0
364,1972,2007,483.0,483,987,264.0,6,1,1.0,5,RM,Norm,BrDale,TA,RM,CompShg,118000.0
365,1976,1976,796.0,790,1574,566.0,6,2,2.0,6,RL,Norm,NWAmes,TA,RL,CompShg,190000.0
366,1920,1997,672.0,672,1344,468.0,5,1,1.0,6,RM,Norm,IDOTRR,TA,RM,CompShg,147000.0
367,1963,1963,1394.0,1394,1394,514.0,6,1,2.0,6,RL,Norm,NAmes,TA,RL,CompShg,159000.0
368,1962,1962,1099.0,1431,1431,296.0,6,1,1.0,6,RL,Norm,NAmes,TA,RL,Tar&Grv,165000.0
369,1954,1954,1268.0,1268,1268,244.0,5,1,1.0,7,RL,Norm,NAmes,TA,RL,CompShg,132000.0
370,1959,2006,1063.0,1287,1287,576.0,5,1,2.0,7,RL,Norm,NAmes,TA,RL,CompShg,162000.0
371,2000,2000,953.0,953,1664,460.0,6,2,2.0,7,RL,Norm,Gilbert,TA,RL,CompShg,172400.0
372,1959,1959,0.0,1120,1588,680.0,4,2,2.0,7,RL,Norm,ClearCr,TA,RL,CompShg,134432.0
373,1984,1984,744.0,752,752,264.0,6,1,1.0,4,RL,Norm,SawyerW,TA,RL,CompShg,125000.0
374,1953,1953,608.0,1319,1319,270.0,5,1,1.0,5,RL,Norm,NAmes,TA,RL,CompShg,123000.0
375,2003,2004,847.0,847,1928,434.0,7,2,2.0,8,RL,Norm,CollgCr,Gd,RL,CompShg,219500.0
376,1922,1950,683.0,904,904,0.0,1,0,0.0,4,RL,Norm,Edwards,Fa,RL,CompShg,61000.0
377,1996,1996,870.0,914,914,576.0,5,1,2.0,5,RL,Norm,CollgCr,Gd,RL,CompShg,148000.0
378,2004,2005,1580.0,1580,2466,610.0,8,3,2.0,8,FV,Norm,Somerst,Gd,FV,CompShg,340000.0
379,2010,2010,1856.0,1856,1856,834.0,9,1,3.0,8,RL,Norm,StoneBr,Gd,RL,CompShg,394432.0
380,2000,2000,982.0,1007,1800,463.0,6,2,2.0,7,RL,Norm,Gilbert,TA,RL,CompShg,179000.0
381,1924,1950,1026.0,1026,1691,308.0,5,2,1.0,6,RL,Norm,SWISU,TA,RL,CompShg,127000.0
382,2006,2006,1293.0,1301,1301,572.0,7,2,2.0,5,FV,Norm,Somerst,Gd,FV,CompShg,187750.0
383,2006,2006,939.0,939,1797,639.0,7,2,2.0,8,RL,Norm,CollgCr,Gd,RL,CompShg,213500.0
384,1928,1950,784.0,784,784,360.0,6,1,2.0,5,RH,Norm,SawyerW,TA,RH,CompShg,76000.0
385,1992,1992,1580.0,1079,1953,501.0,6,2,2.0,9,RL,Norm,ClearCr,Gd,RL,CompShg,240000.0
386,2004,2005,1256.0,1269,1269,430.0,8,2,2.0,6,RL,Norm,Blmngtn,Gd,RL,CompShg,192000.0
387,1910,1996,658.0,658,1184,0.0,5,1,0.0,8,RL,Norm,Edwards,TA,RL,CompShg,81000.0
388,1976,1976,1041.0,1125,1125,352.0,6,1,1.0,6,RL,Norm,Edwards,TA,RL,CompShg,125000.0
389,1999,2000,1468.0,1479,1479,577.0,7,2,2.0,6,RL,Norm,CollgCr,Gd,RL,CompShg,191000.0
390,2007,2008,1682.0,1742,2332,846.0,10,2,3.0,9,RL,Norm,NridgHt,Ex,RL,CompShg,426000.0
391,1900,1950,861.0,961,1367,384.0,5,1,1.0,7,RL,Norm,Edwards,TA,RL,CompShg,119000.0
392,2001,2002,804.0,804,1961,560.0,6,2,2.0,7,RL,Norm,Mitchel,TA,RL,CompShg,215000.0
393,1959,1959,0.0,882,882,294.0,5,1,1.0,5,RL,Norm,NAmes,TA,RL,CompShg,106500.0
394,1941,1950,788.0,788,788,0.0,4,1,0.0,4,RL,Norm,BrkSide,TA,RL,CompShg,100000.0
395,1940,1950,735.0,735,1034,240.0,5,1,1.0,5,RL,Norm,OldTown,TA,RL,CompShg,109000.0
396,1956,1956,1144.0,1144,1144,596.0,5,1,1.0,6,RL,Norm,Edwards,TA,RL,CompShg,129000.0
397,1972,1972,894.0,894,894,600.0,5,1,2.0,6,RL,Norm,CollgCr,TA,RL,CompShg,123000.0
398,1962,1962,864.0,876,1812,264.0,5,2,1.0,8,RL,Norm,NAmes,TA,RL,CompShg,169500.0
399,1920,1950,961.0,1077,1077,338.0,5,1,1.0,6,RM,Norm,IDOTRR,TA,RM,CompShg,67000.0
400,2006,2007,1092.0,1112,1550,438.0,7,2,2.0,7,FV,Norm,Somerst,Gd,FV,CompShg,241000.0
401,1996,1996,1260.0,1288,1288,500.0,8,1,2.0,4,RL,Norm,Veenker,Gd,RL,CompShg,245500.0
402,2005,2005,1310.0,1310,1310,400.0,7,2,2.0,6,RL,Norm,CollgCr,Gd,RL,CompShg,164990.0
403,1940,1997,672.0,672,672,240.0,5,1,1.0,4,RL,Norm,Sawyer,TA,RL,CompShg,108000.0
404,1998,1998,1141.0,1165,2263,420.0,8,2,2.0,10,RL,Norm,NoRidge,Gd,RL,CompShg,258000.0
405,1995,1996,806.0,806,1572,373.0,6,2,2.0,7,RL,Norm,Gilbert,TA,RL,CompShg,168000.0
406,1976,1993,1281.0,1620,1620,490.0,4,2,2.0,8,RL,Norm,Sawyer,TA,RL,CompShg,150000.0
407,1936,1950,1064.0,1166,1639,240.0,6,1,1.0,6,RL,Norm,SWISU,TA,RL,CompShg,115000.0
408,1915,1976,840.0,840,1680,308.0,6,2,1.0,8,RL,Norm,Crawfor,TA,RL,CompShg,177000.0
409,2006,2006,1063.0,1071,2172,947.0,7,2,3.0,9,RL,Norm,NridgHt,Gd,RL,CompShg,280000.0
410,2007,2008,1034.0,1050,2078,836.0,8,2,3.0,8,FV,Norm,Somerst,Gd,FV,CompShg,339750.0
411,1958,1958,1276.0,1276,1276,350.0,5,1,1.0,5,RL,Norm,Edwards,TA,RL,CompShg,60000.0
412,1955,1955,1056.0,1056,1056,572.0,5,1,2.0,5,RL,Norm,Gilbert,TA,RL,CompShg,145000.0
413,2009,2009,1470.0,1478,1478,484.0,7,2,2.0,7,FV,Norm,Somerst,Ex,FV,CompShg,222000.0
414,1927,1950,1008.0,1028,1028,360.0,5,1,2.0,5,RM,Norm,OldTown,TA,RM,CompShg,115000.0
415,1993,1993,1080.0,1080,2097,678.0,7,2,3.0,9,RL,Norm,SawyerW,Gd,RL,CompShg,228000.0
416,2007,2007,1340.0,1340,1340,396.0,7,2,2.0,6,RL,Norm,Gilbert,Gd,RL,CompShg,181134.0
417,1978,1978,672.0,672,1400,440.0,6,1,2.0,6,RL,Norm,Sawyer,TA,RL,CompShg,149500.0
418,1918,1950,1370.0,1370,2624,864.0,6,2,3.0,10,RL,Norm,Crawfor,TA,RL,CompShg,239000.0
419,1940,1950,756.0,756,1134,240.0,5,1,1.0,7,RL,Norm,Edwards,TA,RL,CompShg,126000.0
420,1968,1968,1056.0,1056,1056,304.0,5,1,1.0,6,RL,Norm,NAmes,TA,RL,CompShg,142000.0
421,1997,1998,1344.0,1344,1344,784.0,7,2,4.0,8,RM,Norm,Mitchel,TA,RM,CompShg,206300.0
422,1977,2000,1602.0,1602,1602,529.0,6,2,2.0,8,RL,Norm,NWAmes,Gd,RL,CompShg,215000.0
423,1954,1954,988.0,988,988,520.0,5,1,2.0,4,RL,Norm,Mitchel,TA,RL,CompShg,113000.0
424,1998,1998,1470.0,1470,2630,696.0,8,2,3.0,8,RL,Norm,NoRidge,Gd,RL,CompShg,315000.0
425,1956,1956,1196.0,1196,1196,297.0,6,1,1.0,6,RL,Norm,NAmes,TA,RL,CompShg,139000.0
426,1946,1992,651.0,707,1389,240.0,7,1,1.0,6,RM,Norm,OldTown,TA,RM,CompShg,135000.0
427,1989,1989,1518.0,1644,1644,569.0,7,2,2.0,5,RL,Norm,SawyerW,Gd,RL,CompShg,275000.0
428,1957,1957,907.0,907,907,352.0,4,1,1.0,5,RL,Norm,NAmes,TA,RL,CompShg,109008.0
429,2007,2007,1208.0,1208,1208,628.0,7,2,2.0,6,RL,Norm,CollgCr,Gd,RL,CompShg,195400.0
430,1988,1988,1392.0,1412,1412,576.0,6,2,2.0,6,RL,Norm,Timber,TA,RL,CompShg,175000.0
431,1971,1971,483.0,483,987,264.0,6,1,1.0,4,RM,Norm,BrDale,TA,RM,CompShg,85400.0
432,1920,1998,901.0,1088,1198,0.0,6,1,0.0,7,RM,Norm,OldTown,TA,RM,CompShg,79900.0
433,1971,1971,765.0,765,1365,440.0,5,1,2.0,6,RM,Norm,BrDale,TA,RM,CompShg,122500.0
434,1997,1998,926.0,926,1604,470.0,6,2,2.0,7,RL,Norm,Gilbert,TA,RL,CompShg,181000.0
435,1972,1972,630.0,630,630,0.0,4,1,0.0,3,RM,Norm,MeadowV,TA,RM,CompShg,81000.0
436,1996,1996,799.0,827,1661,550.0,7,2,2.0,6,RL,Norm,CollgCr,Gd,RL,CompShg,212000.0
437,1920,1950,648.0,734,1118,440.0,6,1,2.0,6,RM,Norm,OldTown,TA,RM,CompShg,116000.0
438,1926,2004,884.0,904,904,180.0,6,1,1.0,4,RM,Norm,BrkSide,Gd,RM,CompShg,119000.0
439,1913,2002,440.0,694,694,352.0,5,1,1.0,4,RL,Norm,Crawfor,TA,RL,CompShg,90350.0
440,1920,2000,684.0,684,1196,528.0,6,1,2.0,7,RL,Norm,Edwards,TA,RL,CompShg,110000.0
441,2008,2008,3094.0,2402,2402,672.0,10,2,3.0,10,RL,Norm,NridgHt,Ex,RL,CompShg,555000.0
442,1955,1955,1440.0,1440,1440,0.0,4,2,0.0,8,RL,Norm,Edwards,TA,RL,CompShg,118000.0
443,1930,1992,1078.0,1128,1573,360.0,5,2,2.0,8,RM,Norm,BrkSide,TA,RM,CompShg,162900.0
444,2006,2007,1258.0,1258,1258,648.0,7,2,3.0,6,RL,Norm,Blmngtn,Gd,RL,CompShg,172500.0
445,1994,1995,915.0,933,1908,493.0,7,2,2.0,8,RL,Norm,CollgCr,Gd,RL,CompShg,210000.0
446,1956,1956,1436.0,1689,1689,480.0,6,1,2.0,7,RL,Norm,Edwards,TA,RL,CompShg,127500.0
447,1966,2002,1517.0,1888,1888,578.0,6,2,2.0,6,RL,Norm,NAmes,Gd,RL,CompShg,190000.0
448,1998,1999,930.0,956,1886,431.0,7,2,2.0,10,RL,Norm,Gilbert,Gd,RL,CompShg,199900.0
449,1937,1950,780.0,780,1376,198.0,6,2,1.0,7,RM,Norm,IDOTRR,TA,RM,CompShg,119500.0
450,1948,2002,649.0,679,1183,308.0,3,1,1.0,6,RM,Norm,OldTown,TA,RM,CompShg,120000.0
451,1930,2005,813.0,813,813,270.0,6,1,1.0,5,RM,Norm,OldTown,TA,RM,CompShg,110000.0
452,1975,1975,1533.0,1533,1533,576.0,7,2,2.0,5,RL,Norm,ClearCr,TA,RL,WdShngl,280000.0
